parent_nis,nis,parent_is_sub,population_rel_to_parent,latitude,longitude,name
41081,410816,True,0.045574851740195044,50.86666666666667,3.8166666666666664,GODVEERDEGEM
41081,410817,True,0.060294679631438156,50.86666666666667,3.8333333333333335,GROTENBERGE
41081,410818,True,0.14913261526993427,50.85,3.8166666666666664,ERWETEGEM
41081,410819,True,0.05453884949447771,50.88333333333333,3.8166666666666664,ELENE
41081,4108110,True,0.15809661302421696,50.88333333333333,3.783333333333333,VELZEKE-RUDDERSHOVE
41081,41081,True,0.09090909090909083,50.86666666666667,3.8166666666666664,ZOTTEGEM
24130,241301,True,0.19999999999999998,50.81666666666667,5.083333333333333,HELEN-BOS
24130,241302,True,0.19999999999999998,50.8,5.116666666666666,HALLE-BOOIENHOVEN
24130,241303,True,0.19999999999999998,50.8,5.1,DORMAAL
24130,241304,True,0.19999999999999998,50.86666666666667,5.1,BUDINGEN
24130,24130,True,0.20000000000000007,50.833333333333336,5.1,ZOUTLEEUW
31042,310421,True,0.28370570107858245,51.266666666666666,3.1,NIEUWMUNSTER
31042,310422,True,0.2374807395993837,51.233333333333334,3.1166666666666667,HOUTAVE
31042,310423,True,0.22881355932203393,51.233333333333334,3.15,MEETKERKE
31042,31042,True,0.2499999999999999,51.266666666666666,3.15,ZUIENKERKE
44081,440811,True,0.3102850706177975,50.93333333333333,3.466666666666667,OLSENE
44081,440812,True,0.3563815960488693,50.96666666666667,3.4833333333333334,MACHELEN
44081,44081,True,0.33333333333333326,50.916666666666664,3.45,ZULTE
34042,340421,True,0.18308457711442788,50.8,3.4333333333333336,OTEGEM
34042,340422,True,0.1983681592039801,50.75,3.3666666666666667,SINT-DENIJS
34042,340423,True,0.2185870646766169,50.766666666666666,3.4,MOEN
34042,340424,True,0.19996019900497514,50.78333333333333,3.4166666666666665,HEESTERT
34042,34042,True,0.19999999999999996,50.81666666666667,3.3333333333333335,ZWEVEGEM
11056,110561,True,0.5,51.2,4.35,BURCHT
11056,11056,True,0.5,51.21666666666667,4.333333333333333,ZWIJNDRECHT
45061,450611,False,0.30188077781319733,50.833333333333336,3.55,PETEGEM-AAN-DE-SCHELDE
45061,450612,False,0.3286579534587185,50.85,3.5166666666666666,WORTEGEM
45061,450613,False,0.10439910742747849,50.86666666666667,3.55,OOIKE
45061,450614,False,0.0846350015938795,50.85,3.5666666666666664,MOREGEM
45061,450615,False,0.18042715970672618,50.81666666666667,3.533333333333333,ELSEGEM
31040,310401,False,0.3572760549761724,51.15,3.183333333333333,LOPPEM
31040,310402,False,0.3296498376959735,51.1,3.1666666666666665,VELDEGEM
31040,310403,False,0.3130741073278541,51.11666666666667,3.0833333333333335,AARTRIJKE
