parent_id,id,population_rel_to_parent,latitude,longitude,name
37002,370022,0.3959197135318507,50.93333333333333,3.4,WAKKEN
37002,370023,0.25160196004523183,50.93333333333333,3.4333333333333336,OESELGEM
37002,370024,0.10247832642291745,50.95,3.4,MARKEGEM
37002,370021,0.25,50.96666666666667,3.4166666666666665,DENTERGEM
44013,440132,0.5,51.03333333333333,3.8,HEUSDEN
44013,440131,0.5,51.05,3.8,DESTELBERGEN
35029,350292,0.5043114067504312,51.25,3.0166666666666666,KLEMSKERKE
35029,350293,0.16695409378336207,51.25,3.05,VLISSEGEM
35029,350294,0.3287344994662068,51.3,3.0833333333333335,WENDUINE
24020,240202,0.12722326094251882,51.03333333333333,5.1,DEURNE
24020,240203,0.10804688623615706,50.96666666666667,5.066666666666666,WEBBEKOM
24020,240204,0.28974303657893474,51.0,5.083333333333333,SCHAFFEN
24020,240205,0.179538808188312,51.0,5.016666666666667,MOLENSTEDE
24020,240206,0.1287813413874107,50.983333333333334,5.016666666666667,KAGGEVINNE
24020,240201,0.16666666666666663,50.983333333333334,5.05,DIEST
32003,320032,0.03583971751946783,51.0,2.8,NIEUWKAPELLE
32003,320033,0.09922128692581733,51.1,2.9,LEKE
32003,320034,0.017478482928213374,51.03333333333333,2.7666666666666666,LAMPERNISSE
32003,320035,0.1145811658627321,51.083333333333336,2.8833333333333333,KEIEM
32003,320036,0.04043002616728144,51.03333333333333,2.8333333333333335,KAASKERKE
32003,320037,0.16366215832781614,51.03333333333333,2.9,ESEN
32003,320038,0.1153756423594691,51.0,2.8666666666666667,WOUMEN
32003,320039,0.07821179734543965,51.06666666666667,2.8,PERVIJZE
32003,3200310,0.008474415965194363,51.016666666666666,2.8333333333333335,SINT-JACOBS-KAPELLE
32003,3200311,0.10937293105078975,51.05,2.9166666666666665,VLADSLO
32003,3200312,0.014124026608657272,51.083333333333336,2.8333333333333335,STUIVEKENSKERKE
32003,3200313,0.011917147451054575,51.016666666666666,2.8166666666666664,OUDEKAPELLE
32003,3200314,0.025158422396670765,51.05,2.8,OOSTKERKE
